Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2022-11-14,2022,11,14,Monday,46,2022-46,192.77,195.73,186.34,190.95,92226600,190.95,-0.02561618738169713,208.21285714285713,244.5054
2022-11-15,2022,11,15,Tuesday,46,2022-46,195.88,200.82,192.06,194.42,91293800,194.42,0.018172303095892017,206.0542857142857,242.90540000000001
2022-11-16,2022,11,16,Wednesday,46,2022-46,191.51,192.57,185.66,186.92,66567600,186.92,-0.03857627852399581,203.3278571428571,240.96980000000002
2022-11-17,2022,11,17,Thursday,46,2022-46,183.96,186.16,180.9,183.17,64336000,183.17,-0.020062058831236462,200.0885714285714,238.84800000000004
2022-11-18,2022,11,18,Friday,46,2022-46,185.05,185.19,176.55,180.19,76048900,180.19,-0.016269016527425406,196.70642857142857,236.4582
2022-11-21,2022,11,21,Monday,47,2022-47,175.85,176.77,167.54,167.87,92882700,167.87,-0.06837231343190053,192.42428571428573,233.7272
2022-11-22,2022,11,22,Tuesday,47,2022-47,168.63,170.92,166.19,169.91,78452300,169.91,0.012152311933396831,189.20499999999998,231.28279999999998
2022-11-23,2022,11,23,Wednesday,47,2022-47,173.57,183.62,172.5,183.2,109536700,183.2,0.07821783885404354,186.9114285714286,228.8946
2022-11-25,2022,11,25,Friday,47,2022-47,185.06,185.2,180.63,182.86,50672700,182.86,-0.0018558752377418886,185.15357142857144,226.4768
2022-11-28,2022,11,28,Monday,48,2022-48,179.96,188.5,179.0,182.92,92905200,182.92,0.0003281065208000644,184.14214285714283,224.0682
2022-11-29,2022,11,29,Tuesday,48,2022-48,184.99,186.38,178.75,180.83,83357100,180.83,-0.011425739989130657,183.3942857142857,221.5034
2022-11-30,2022,11,30,Wednesday,48,2022-48,182.43,194.76,180.63,194.7,109186400,194.7,0.07670184691003823,184.61642857142857,219.22279999999998
2022-12-01,2022,12,1,Thursday,48,2022-48,197.08,198.92,191.8,194.7,80046200,194.7,0.0,184.90071428571426,217.1008
2022-12-02,2022,12,2,Friday,48,2022-48,191.78,196.25,191.11,194.86,73645900,194.86,0.0008217959148295595,184.82142857142858,215.22619999999998
2022-12-05,2022,12,5,Monday,49,2022-49,189.44,191.27,180.55,182.45,93122700,182.45,-0.06368676805520912,184.21428571428572,213.36860000000001
2022-12-06,2022,12,6,Tuesday,49,2022-49,181.22,183.65,175.33,179.82,92150800,179.82,-0.01441485156488942,183.17142857142858,211.4448
